id,T,recency,frequency,avg_monetary
f64ec6d8dd29940264cd0bbb5ecade8a,332,45,3,72.0
664fe7916cb8709c6b848383c6361dcc,537,223,1,189.45
7cf08f01ab6a6a1365e1613989a65158,572,453,1,78.45
821e4e781313d2eb18711efe7a50d66a,358,16,1,109.85
8ec9e01dc8cbd31897a2f2116c5fbae4,213,24,1,138.0
97258e1c1f77f32358eccd1c9ee5954d,529,505,1,124.995
a5afb1cd8d3b8126d2d39a7a29880c09,97,28,1,574.495
bc877a9f97bb3f3d4fcd5f86028f81a9,406,195,1,79.72500000000001
c1977e8e3ea0900e70cd1dd70123d382,313,39,1,179.835
d2c30c00f9787faf7349ea558c153613,118,39,1,144.89000000000001
da8ac849037c7201a41a4db0b1fa963e,525,425,1,350.0
17e873c00e3fef97c9f1347c6681bd1a,352,6,1,329.9
6e26bbeaa107ec34112c64e1ee31c0f5,427,182,1,677.95
87b3f231705783eb2217e25851c0a45d,696,573,1,215.65
a7bbfaf8a288c45dc38d4693535dd63f,583,9,1,47.400000000000006
e87c2e2e5985c5996ec20651a3d50fe7,382,34,1,152.0
ef309784561fed416ff25e05ddfe495e,88,41,1,57.489999999999995
fe3e52de024b82706717c38c8e183084,357,322,1,54.45
0d153268371aa25450d4117ff070277e,117,50,1,282.95
240f980f7c03e873c538e86792646919,57,29,1,257.0
24d27f115e367d9129a0e7a7a5d36866,310,17,1,359.345
511152350c802fe363fd2417b1a09357,224,1,1,32.45
6428403ac3b03984c38fd083fa1647b0,476,331,1,57.95
78c5bae602d6d120f6f4ed4acbd46284,240,72,1,84.85000000000001
8cb0a62e8c536632e7c0a985166a089b,158,132,1,30.95
944779ed5e0464b49fbb2108382b0ddf,124,92,1,148.0
947e93a9bb28256adebe49f78cff07ad,544,83,1,82.4
e44110c2ff342e5bbda6c2224d94bbe6,487,8,1,286.35
e77723abebdc6d6b95814047f75c2aab,276,14,1,145.0
1741b0bef7ccbc530ba7287000d5f49f,220,84,1,147.4
194be31520cde5c527bad17720119e85,515,129,1,117.35000000000001
2280ecb8db2591c39d1c7d3e9caa115c,432,59,1,42.945
